"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\routes\cervezaRoutes.ts", "TypeScript", 0, -11, 0, 0, -1, -4, -16
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\routes\degustacionRoutes.ts", "TypeScript", 0, -12, 0, 0, 0, -4, -16
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\routes\localRoutes.ts", "TypeScript", 0, -10, 0, 0, 0, -4, -14
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\routes\usuarioRoutes.ts", "TypeScript", 0, -23, 0, 0, -12, -11, -46
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\AuthService.ts", "TypeScript", 0, -40, 0, 0, -4, -11, -55
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\CervezaService.ts", "TypeScript", 0, -24, 0, 0, 0, -6, -30
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\ComentarioDegustacionService.ts", "TypeScript", 0, -29, 0, 0, 0, -9, -38
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\DegustacionService.ts", "TypeScript", 0, -59, 0, 0, -8, -11, -78
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\GalardonService.ts", "TypeScript", 0, -141, 0, 0, -22, -37, -200
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\LocalService.ts", "TypeScript", 0, -24, 0, 0, 0, -6, -30
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\SolicitudAmistadService.ts", "TypeScript", 0, -63, 0, 0, -11, -17, -91
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\UsuarioService.ts", "TypeScript", 0, -138, 0, 0, -8, -37, -183
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\integration\integracion.test.ts", "TypeScript", 0, -93, 0, 0, -14, -17, -124
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\auth.controller.test.ts", "TypeScript", 0, -35, 0, 0, -1, -14, -50
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\cerveza.controller.test.ts", "TypeScript", 0, -27, 0, 0, 0, -12, -39
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\comentario.controller.test.ts", "TypeScript", 0, -46, 0, 0, -1, -14, -61
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\degustacion.controller.test.ts", "TypeScript", 0, -52, 0, 0, -1, -15, -68
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\local.controller.test.ts", "TypeScript", 0, -42, 0, 0, -1, -17, -60
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\solicitud.controller.test.ts", "TypeScript", 0, -40, 0, 0, 0, -12, -52
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\usuario.controller.test.ts", "TypeScript", 0, -27, 0, 0, 0, -8, -35
